ISBN,TITULO,AUTOR,ANO
9788500000490,Inteligência Artificial - Volume 491,Knuth,1996
9788500000491,Mineração de Dados - Volume 492,McKinney,2009
9788500000492,Algoritmos - Volume 493,Mark Weiss,2010
9788500000493,Programação Web - Volume 494,Patterson,2016
9788500000494,Python - Volume 495,Szeliski,2017
9788500000495,Computação Gráfica - Volume 496,Deitel,2023
9788500000496,Java - Volume 497,Pressman,2014
9788500000497,Banco de Dados - Volume 498,Deitel,1999
9788500000498,Machine Learning - Volume 499,Knuth,2015
9788500000499,Computação em Nuvem - Volume 500,Stallings,2017
9788500000500,Engenharia de Software - Volume 501,Freeman,2014
9788500000501,Mineração de Dados - Volume 502,McKinney,2009
9788500000502,Mineração de Dados - Volume 503,Knuth,2008
9788500000503,Python - Volume 504,Brookshear,2022
9788500000504,Segurança da Informação - Volume 505,Russell,2008
9788500000505,Computação Gráfica - Volume 506,Mitchell,2008
9788500000506,Engenharia de Software - Volume 507,Hearn,2007
9788500000507,Arquitetura de Computadores - Volume 508,Brookshear,2005
9788500000508,Arquitetura de Computadores - Volume 509,Pressman,2016
9788500000509,Machine Learning - Volume 510,Aho,2025
9788500000510,Banco de Dados - Volume 511,Szeliski,1997
9788500000511,Java - Volume 512,Deitel,1997
9788500000512,Arquitetura de Computadores - Volume 513,Brookshear,2018
9788500000513,Compiladores - Volume 514,Tanenbaum,2012
9788500000514,Estruturas de Dados - Volume 515,Erl,2025
9788500000515,Segurança da Informação - Volume 516,Stallings,2005
9788500000516,Python - Volume 517,Patterson,2006
9788500000517,Arquitetura de Computadores - Volume 518,Mark Weiss,2025
9788500000518,Deep Learning - Volume 519,Knuth,2004
9788500000519,Compiladores - Volume 520,Brookshear,2013
9788500000520,Mineração de Dados - Volume 521,Russell,1999
9788500000521,Visão Computacional - Volume 522,Mitchell,2022
9788500000522,Python - Volume 523,Aho,2022
9788500000523,Segurança da Informação - Volume 524,Aho,1998
9788500000524,Machine Learning - Volume 525,Erl,2002
9788500000525,Arquitetura de Computadores - Volume 526,Stallings,2019
9788500000526,Análise de Dados - Volume 527,Knuth,2016
9788500000527,Segurança da Informação - Volume 528,Thomas Cormen,2014
9788500000528,Machine Learning - Volume 529,Thomas Cormen,2000
9788500000529,Machine Learning - Volume 530,McKinney,2024
9788500000530,Engenharia de Software - Volume 531,Aho,1995
9788500000531,Redes - Volume 532,Tanenbaum,2013
9788500000532,Programação Web - Volume 533,Deitel,1999
9788500000533,Algoritmos - Volume 534,Deitel,2018
9788500000534,Mineração de Dados - Volume 535,Russell,2007
9788500000535,Arquitetura de Computadores - Volume 536,Hearn,2005
9788500000536,Redes - Volume 537,Aho,2004
9788500000537,Engenharia de Software - Volume 538,Erl,2014
9788500000538,Java - Volume 539,Mark Weiss,1999
9788500000539,Redes - Volume 540,Knuth,1996
9788500000540,Java - Volume 541,Goodfellow,2009
9788500000541,Arquitetura de Computadores - Volume 542,Szeliski,2014
9788500000542,Computação Gráfica - Volume 543,Patterson,2003
9788500000543,Sistemas Operacionais - Volume 544,Han,1998
9788500000544,Compiladores - Volume 545,Patterson,1998
9788500000545,Deep Learning - Volume 546,Erl,2010
9788500000546,Mineração de Dados - Volume 547,McKinney,1996
9788500000547,Inteligência Artificial - Volume 548,Freeman,2014
9788500000548,Estruturas de Dados - Volume 549,Thomas Cormen,2001
9788500000549,Deep Learning - Volume 550,Russell,2019
9788500000550,Banco de Dados - Volume 551,Goodfellow,2004
9788500000551,Engenharia de Software - Volume 552,Brookshear,1995
9788500000552,Visão Computacional - Volume 553,Patterson,2000
9788500000553,Banco de Dados - Volume 554,Freeman,2012
9788500000554,Inteligência Artificial - Volume 555,Han,2012
9788500000555,Compiladores - Volume 556,Deitel,2007
9788500000556,Estruturas de Dados - Volume 557,Patterson,1995
9788500000557,Computação Gráfica - Volume 558,Deitel,2022
9788500000558,Engenharia de Software - Volume 559,Erl,2008
9788500000559,Computação em Nuvem - Volume 560,Freeman,2017
9788500000560,Arquitetura de Computadores - Volume 561,McKinney,1998
9788500000561,Programação Web - Volume 562,Thomas Cormen,2025
9788500000562,Engenharia de Software - Volume 563,Silberschatz,2020
9788500000563,Análise de Dados - Volume 564,Hearn,2021
9788500000564,Compiladores - Volume 565,Deitel,2008
9788500000565,Python - Volume 566,Mitchell,2008
9788500000566,Computação em Nuvem - Volume 567,Freeman,2011
9788500000567,Java - Volume 568,Freeman,2022
9788500000568,Deep Learning - Volume 569,Pressman,2002
9788500000569,Engenharia de Software - Volume 570,Silberschatz,1997
9788500000570,Mineração de Dados - Volume 571,Brookshear,2011
9788500000571,Mineração de Dados - Volume 572,Russell,2023
9788500000572,Compiladores - Volume 573,Aho,2018
9788500000573,Banco de Dados - Volume 574,Mitchell,1998
9788500000574,Banco de Dados - Volume 575,Goodfellow,2001
9788500000575,Redes - Volume 576,Knuth,1999
9788500000576,Java - Volume 577,Silberschatz,2025
9788500000577,Visão Computacional - Volume 578,Hearn,2019
9788500000578,Computação em Nuvem - Volume 579,Erl,2009
9788500000579,Computação em Nuvem - Volume 580,Knuth,2005
9788500000580,Engenharia de Software - Volume 581,Tanenbaum,2009
9788500000581,Java - Volume 582,Szeliski,2009
9788500000582,Deep Learning - Volume 583,Goodfellow,2013
9788500000583,Estruturas de Dados - Volume 584,Aho,2011
9788500000584,Java - Volume 585,McKinney,2009
9788500000585,Computação Gráfica - Volume 586,Mark Weiss,1996
9788500000586,Compiladores - Volume 587,McKinney,1997
9788500000587,Java - Volume 588,Knuth,2014
9788500000588,Mineração de Dados - Volume 589,Freeman,2009
9788500000589,Computação em Nuvem - Volume 590,Stallings,2025
9788500000590,Estruturas de Dados - Volume 591,Hearn,2024
9788500000591,Computação em Nuvem - Volume 592,Russell,2005
9788500000592,Análise de Dados - Volume 593,Szeliski,2011
9788500000593,Banco de Dados - Volume 594,Mark Weiss,2009
9788500000594,Python - Volume 595,Pressman,2017
9788500000595,Java - Volume 596,Han,2015
9788500000596,Redes - Volume 597,Mark Weiss,2002
9788500000597,Computação Gráfica - Volume 598,Hearn,2011
9788500000598,Mineração de Dados - Volume 599,Knuth,2000
9788500000599,Compiladores - Volume 600,Aho,2024
9788500000600,Deep Learning - Volume 601,Freeman,2008
9788500000601,Engenharia de Software - Volume 602,Knuth,1996
9788500000602,Engenharia de Software - Volume 603,Deitel,2005
9788500000603,Python - Volume 604,Stallings,2016
9788500000604,Programação Web - Volume 605,McKinney,2003
9788500000605,Análise de Dados - Volume 606,Tanenbaum,2005
9788500000606,Java - Volume 607,Erl,2016
9788500000607,Banco de Dados - Volume 608,Aho,2004
9788500000608,Programação Web - Volume 609,Tanenbaum,2014
9788500000609,Java - Volume 610,McKinney,2012
9788500000610,Programação Web - Volume 611,Pressman,2021
9788500000611,Banco de Dados - Volume 612,Han,1997
9788500000612,Arquitetura de Computadores - Volume 613,Han,2006
9788500000613,Algoritmos - Volume 614,Aho,2004
9788500000614,Redes - Volume 615,Russell,2005
9788500000615,Visão Computacional - Volume 616,Russell,2002
9788500000616,Banco de Dados - Volume 617,Tanenbaum,1997
9788500000617,Deep Learning - Volume 618,Brookshear,2011
9788500000618,Segurança da Informação - Volume 619,Han,1996
9788500000619,Engenharia de Software - Volume 620,Knuth,1999
9788500000620,Análise de Dados - Volume 621,Freeman,1999
9788500000621,Redes - Volume 622,Silberschatz,2021
9788500000622,Análise de Dados - Volume 623,Silberschatz,2018
9788500000623,Computação Gráfica - Volume 624,Mark Weiss,2008
9788500000624,Compiladores - Volume 625,Mitchell,2009
9788500000625,Análise de Dados - Volume 626,McKinney,2019
9788500000626,Computação Gráfica - Volume 627,Mitchell,2012
9788500000627,Inteligência Artificial - Volume 628,McKinney,2025
9788500000628,Visão Computacional - Volume 629,Russell,2006
9788500000629,Computação em Nuvem - Volume 630,Hearn,2009
9788500000630,Deep Learning - Volume 631,Freeman,2011
9788500000631,Mineração de Dados - Volume 632,Patterson,2025
9788500000632,Redes - Volume 633,Russell,2020
9788500000633,Análise de Dados - Volume 634,Tanenbaum,2022
9788500000634,Machine Learning - Volume 635,Mark Weiss,2015
9788500000635,Visão Computacional - Volume 636,Aho,2012
9788500000636,Python - Volume 637,Han,2022
9788500000637,Python - Volume 638,McKinney,1997
9788500000638,Redes - Volume 639,Goodfellow,2009
9788500000639,Mineração de Dados - Volume 640,Tanenbaum,2021
9788500000640,Arquitetura de Computadores - Volume 641,Deitel,2025
9788500000641,Inteligência Artificial - Volume 642,Hearn,2023
9788500000642,Compiladores - Volume 643,Thomas Cormen,2008
9788500000643,Estruturas de Dados - Volume 644,Freeman,2011
9788500000644,Compiladores - Volume 645,Mitchell,2007
9788500000645,Java - Volume 646,Aho,2002
9788500000646,Algoritmos - Volume 647,Pressman,2024
9788500000647,Python - Volume 648,Pressman,2020
9788500000648,Banco de Dados - Volume 649,Tanenbaum,1996
9788500000649,Deep Learning - Volume 650,Szeliski,2017
9788500000650,Banco de Dados - Volume 651,Szeliski,2009
9788500000651,Análise de Dados - Volume 652,Thomas Cormen,2023
9788500000652,Java - Volume 653,Thomas Cormen,2003
9788500000653,Sistemas Operacionais - Volume 654,Tanenbaum,2012
9788500000654,Análise de Dados - Volume 655,Han,2008
9788500000655,Python - Volume 656,McKinney,2002
9788500000656,Deep Learning - Volume 657,Brookshear,1996
9788500000657,Inteligência Artificial - Volume 658,Patterson,2015
9788500000658,Análise de Dados - Volume 659,Hearn,1997
9788500000659,Python - Volume 660,Szeliski,2014
9788500000660,Segurança da Informação - Volume 661,Thomas Cormen,2015
9788500000661,Mineração de Dados - Volume 662,Erl,2002
9788500000662,Banco de Dados - Volume 663,McKinney,2008
9788500000663,Algoritmos - Volume 664,Knuth,2006
9788500000664,Inteligência Artificial - Volume 665,Erl,2008
9788500000665,Redes - Volume 666,Deitel,2011
9788500000666,Compiladores - Volume 667,Deitel,2025
9788500000667,Mineração de Dados - Volume 668,Stallings,2011
9788500000668,Mineração de Dados - Volume 669,Stallings,1995
9788500000669,Programação Web - Volume 670,Szeliski,1996
9788500000670,Programação Web - Volume 671,Aho,2003
9788500000671,Algoritmos - Volume 672,Aho,2020
9788500000672,Java - Volume 673,Aho,2002
9788500000673,Python - Volume 674,Erl,2018
9788500000674,Engenharia de Software - Volume 675,Tanenbaum,1996
9788500000675,Compiladores - Volume 676,Stallings,2005
9788500000676,Redes - Volume 677,Hearn,2017
9788500000677,Visão Computacional - Volume 678,Silberschatz,2020
9788500000678,Banco de Dados - Volume 679,Deitel,2017
9788500000679,Computação Gráfica - Volume 680,Mark Weiss,2004
9788500000680,Sistemas Operacionais - Volume 681,Mark Weiss,2020
9788500000681,Sistemas Operacionais - Volume 682,Mark Weiss,2005
9788500000682,Deep Learning - Volume 683,Han,2007
9788500000683,Segurança da Informação - Volume 684,Szeliski,2003
9788500000684,Estruturas de Dados - Volume 685,Russell,2004
9788500000685,Compiladores - Volume 686,Mark Weiss,2022
9788500000686,Engenharia de Software - Volume 687,Goodfellow,1998
9788500000687,Compiladores - Volume 688,Patterson,2023
9788500000688,Programação Web - Volume 689,Hearn,2023
9788500000689,Programação Web - Volume 690,Pressman,2000
9788500000690,Visão Computacional - Volume 691,Szeliski,2006
9788500000691,Mineração de Dados - Volume 692,Goodfellow,2020
9788500000692,Java - Volume 693,Patterson,1997
9788500000693,Arquitetura de Computadores - Volume 694,Knuth,2021
9788500000694,Redes - Volume 695,Stallings,2004
9788500000695,Engenharia de Software - Volume 696,Brookshear,1997
9788500000696,Engenharia de Software - Volume 697,McKinney,2004
9788500000697,Computação Gráfica - Volume 698,Knuth,2017
9788500000698,Arquitetura de Computadores - Volume 699,Silberschatz,2017
9788500000699,Computação Gráfica - Volume 700,Aho,2009
9788500000700,Estruturas de Dados - Volume 701,Aho,2014
9788500000701,Arquitetura de Computadores - Volume 702,Goodfellow,2015
9788500000702,Estruturas de Dados - Volume 703,Deitel,2016
9788500000703,Programação Web - Volume 704,Aho,2011
9788500000704,Redes - Volume 705,Thomas Cormen,1999
9788500000705,Análise de Dados - Volume 706,Hearn,1996
9788500000706,Banco de Dados - Volume 707,Deitel,2002
9788500000707,Compiladores - Volume 708,Aho,2007
9788500000708,Computação em Nuvem - Volume 709,Mark Weiss,2014
9788500000709,Banco de Dados - Volume 710,Hearn,2025
9788500000710,Compiladores - Volume 711,Aho,2009
9788500000711,Java - Volume 712,Erl,1999
9788500000712,Mineração de Dados - Volume 713,Aho,2007
9788500000713,Engenharia de Software - Volume 714,Goodfellow,2002
9788500000714,Python - Volume 715,Thomas Cormen,2018
9788500000715,Redes - Volume 716,Szeliski,2011
9788500000716,Programação Web - Volume 717,Stallings,1998
9788500000717,Machine Learning - Volume 718,Goodfellow,2017
9788500000718,Computação Gráfica - Volume 719,Russell,2014
9788500000719,Deep Learning - Volume 720,Szeliski,2001
9788500000720,Python - Volume 721,Tanenbaum,2022
9788500000721,Java - Volume 722,Hearn,2000
9788500000722,Computação Gráfica - Volume 723,Deitel,2020
9788500000723,Engenharia de Software - Volume 724,Aho,2017
9788500000724,Java - Volume 725,Stallings,2012
9788500000725,Deep Learning - Volume 726,McKinney,2022
9788500000726,Redes - Volume 727,Silberschatz,2020
9788500000727,Compiladores - Volume 728,Han,2002
9788500000728,Python - Volume 729,Russell,2020
9788500000729,Banco de Dados - Volume 730,Mitchell,2020
9788500000730,Visão Computacional - Volume 731,Thomas Cormen,2006
9788500000731,Segurança da Informação - Volume 732,Erl,2006
9788500000732,Computação Gráfica - Volume 733,Stallings,1999
9788500000733,Análise de Dados - Volume 734,Deitel,1997
9788500000734,Deep Learning - Volume 735,Freeman,2017
9788500000735,Visão Computacional - Volume 736,Han,2008
9788500000736,Arquitetura de Computadores - Volume 737,Erl,1997
9788500000737,Banco de Dados - Volume 738,Pressman,2015
9788500000738,Java - Volume 739,Hearn,2009
9788500000739,Mineração de Dados - Volume 740,Aho,1999
9788500000740,Segurança da Informação - Volume 741,Erl,2000
9788500000741,Banco de Dados - Volume 742,Patterson,2011
9788500000742,Estruturas de Dados - Volume 743,Brookshear,2011
9788500000743,Banco de Dados - Volume 744,McKinney,2000
9788500000744,Redes - Volume 745,Pressman,2024
9788500000745,Inteligência Artificial - Volume 746,Aho,2025
9788500000746,Mineração de Dados - Volume 747,McKinney,2022
9788500000747,Java - Volume 748,Goodfellow,2001
9788500000748,Segurança da Informação - Volume 749,Goodfellow,1999
9788500000749,Deep Learning - Volume 750,Knuth,2012
9788500000750,Java - Volume 751,Han,2015
9788500000751,Redes - Volume 752,Erl,2025
9788500000752,Computação em Nuvem - Volume 753,Tanenbaum,2000
9788500000753,Análise de Dados - Volume 754,Knuth,2005
9788500000754,Computação em Nuvem - Volume 755,Mark Weiss,2021
9788500000755,Algoritmos - Volume 756,Deitel,1996
9788500000756,Computação em Nuvem - Volume 757,Goodfellow,2015
9788500000757,Sistemas Operacionais - Volume 758,Erl,2008
9788500000758,Análise de Dados - Volume 759,Thomas Cormen,2010
9788500000759,Segurança da Informação - Volume 760,McKinney,2015
9788500000760,Deep Learning - Volume 761,Szeliski,2002
9788500000761,Programação Web - Volume 762,McKinney,2009
9788500000762,Java - Volume 763,Mark Weiss,2000
9788500000763,Computação Gráfica - Volume 764,Patterson,2010
9788500000764,Computação Gráfica - Volume 765,Russell,2005
9788500000765,Análise de Dados - Volume 766,Tanenbaum,2005
9788500000766,Engenharia de Software - Volume 767,Aho,2007
9788500000767,Banco de Dados - Volume 768,Aho,2011
9788500000768,Segurança da Informação - Volume 769,Brookshear,2005
9788500000769,Inteligência Artificial - Volume 770,Hearn,1998
9788500000770,Machine Learning - Volume 771,Hearn,2002
9788500000771,Banco de Dados - Volume 772,Brookshear,1996
9788500000772,Deep Learning - Volume 773,Freeman,2022
9788500000773,Análise de Dados - Volume 774,Patterson,2002
9788500000774,Redes - Volume 775,Pressman,2024
9788500000775,Computação em Nuvem - Volume 776,Pressman,2001
9788500000776,Redes - Volume 777,Szeliski,2011
9788500000777,Computação Gráfica - Volume 778,Szeliski,2023
9788500000778,Deep Learning - Volume 779,Szeliski,1995
9788500000779,Java - Volume 780,Freeman,2011
9788500000780,Computação Gráfica - Volume 781,Mitchell,2001
9788500000781,Computação em Nuvem - Volume 782,Aho,1996
9788500000782,Estruturas de Dados - Volume 783,McKinney,2010
9788500000783,Análise de Dados - Volume 784,Szeliski,2004
9788500000784,Segurança da Informação - Volume 785,Thomas Cormen,2022
9788500000785,Python - Volume 786,Patterson,1999
9788500000786,Machine Learning - Volume 787,Aho,2019
9788500000787,Programação Web - Volume 788,Aho,1996
9788500000788,Programação Web - Volume 789,Mark Weiss,2013
9788500000789,Segurança da Informação - Volume 790,Russell,2006
9788500000790,Segurança da Informação - Volume 791,McKinney,1997
9788500000791,Programação Web - Volume 792,Han,2009
9788500000792,Segurança da Informação - Volume 793,Goodfellow,2021
9788500000793,Análise de Dados - Volume 794,Knuth,1998
9788500000794,Banco de Dados - Volume 795,Brookshear,2007
9788500000795,Compiladores - Volume 796,Pressman,2012
9788500000796,Compiladores - Volume 797,Tanenbaum,2001
9788500000797,Análise de Dados - Volume 798,Han,2007
9788500000798,Mineração de Dados - Volume 799,Mark Weiss,1996
9788500000799,Estruturas de Dados - Volume 800,Tanenbaum,2017
9788500000800,Engenharia de Software - Volume 801,Szeliski,2011
9788500000801,Computação Gráfica - Volume 802,Tanenbaum,2014
9788500000802,Mineração de Dados - Volume 803,Tanenbaum,2005
9788500000803,Análise de Dados - Volume 804,Pressman,2000
9788500000804,Programação Web - Volume 805,Knuth,2018
9788500000805,Deep Learning - Volume 806,Erl,2005
9788500000806,Mineração de Dados - Volume 807,Han,2012
9788500000807,Visão Computacional - Volume 808,Erl,2004
9788500000808,Visão Computacional - Volume 809,Thomas Cormen,2006
9788500000809,Engenharia de Software - Volume 810,Brookshear,2008
9788500000810,Computação em Nuvem - Volume 811,McKinney,2020
9788500000811,Algoritmos - Volume 812,Knuth,2010
9788500000812,Machine Learning - Volume 813,Erl,2013
9788500000813,Inteligência Artificial - Volume 814,Mark Weiss,2013
9788500000814,Visão Computacional - Volume 815,Silberschatz,2011
9788500000815,Análise de Dados - Volume 816,Freeman,1999
9788500000816,Inteligência Artificial - Volume 817,Mark Weiss,2013
9788500000817,Python - Volume 818,Russell,1995
9788500000818,Computação Gráfica - Volume 819,Pressman,2008
9788500000819,Banco de Dados - Volume 820,Patterson,2017
9788500000820,Sistemas Operacionais - Volume 821,Patterson,2011
9788500000821,Análise de Dados - Volume 822,Szeliski,2022
9788500000822,Estruturas de Dados - Volume 823,Tanenbaum,2011
9788500000823,Sistemas Operacionais - Volume 824,Stallings,2005
9788500000824,Visão Computacional - Volume 825,Han,2007
9788500000825,Engenharia de Software - Volume 826,Silberschatz,2009
9788500000826,Segurança da Informação - Volume 827,Pressman,2012
9788500000827,Compiladores - Volume 828,Goodfellow,2014
9788500000828,Visão Computacional - Volume 829,Russell,2025
9788500000829,Inteligência Artificial - Volume 830,Goodfellow,2012
9788500000830,Deep Learning - Volume 831,Mitchell,2025
9788500000831,Deep Learning - Volume 832,McKinney,2017
9788500000832,Sistemas Operacionais - Volume 833,Szeliski,2005
9788500000833,Visão Computacional - Volume 834,Aho,2012
9788500000834,Machine Learning - Volume 835,McKinney,1998
9788500000835,Computação em Nuvem - Volume 836,Stallings,2007
9788500000836,Programação Web - Volume 837,Aho,2025
9788500000837,Banco de Dados - Volume 838,McKinney,1996
9788500000838,Deep Learning - Volume 839,Deitel,2006
9788500000839,Computação Gráfica - Volume 840,Goodfellow,2018
9788500000840,Visão Computacional - Volume 841,Russell,2001
9788500000841,Segurança da Informação - Volume 842,Goodfellow,2024
9788500000842,Segurança da Informação - Volume 843,Goodfellow,1999
9788500000843,Python - Volume 844,Knuth,2018
9788500000844,Computação em Nuvem - Volume 845,Mitchell,2002
9788500000845,Estruturas de Dados - Volume 846,Han,2002
9788500000846,Inteligência Artificial - Volume 847,Mark Weiss,1998
9788500000847,Arquitetura de Computadores - Volume 848,Pressman,2017
9788500000848,Visão Computacional - Volume 849,Brookshear,2016
9788500000849,Banco de Dados - Volume 850,Thomas Cormen,2025
9788500000850,Segurança da Informação - Volume 851,Silberschatz,2008
9788500000851,Visão Computacional - Volume 852,Szeliski,2015
9788500000852,Sistemas Operacionais - Volume 853,McKinney,2005
9788500000853,Deep Learning - Volume 854,Mark Weiss,2024
9788500000854,Java - Volume 855,Erl,2002
9788500000855,Segurança da Informação - Volume 856,Mark Weiss,2024
9788500000856,Redes - Volume 857,Patterson,2023
9788500000857,Redes - Volume 858,Mark Weiss,2021
9788500000858,Programação Web - Volume 859,Szeliski,2000
9788500000859,Deep Learning - Volume 860,Mark Weiss,1995
9788500000860,Deep Learning - Volume 861,Erl,2014
9788500000861,Python - Volume 862,Pressman,2004
9788500000862,Computação Gráfica - Volume 863,Stallings,2011
9788500000863,Visão Computacional - Volume 864,Tanenbaum,2022
9788500000864,Mineração de Dados - Volume 865,Hearn,2003
9788500000865,Sistemas Operacionais - Volume 866,Brookshear,2005
9788500000866,Redes - Volume 867,Hearn,2015
9788500000867,Machine Learning - Volume 868,Silberschatz,1995
9788500000868,Engenharia de Software - Volume 869,McKinney,2013
9788500000869,Sistemas Operacionais - Volume 870,Silberschatz,2014
9788500000870,Programação Web - Volume 871,Patterson,2011
9788500000871,Engenharia de Software - Volume 872,Deitel,2007
9788500000872,Python - Volume 873,Silberschatz,1999
9788500000873,Visão Computacional - Volume 874,Pressman,2024
9788500000874,Inteligência Artificial - Volume 875,Thomas Cormen,2003
9788500000875,Programação Web - Volume 876,Mitchell,2009
9788500000876,Machine Learning - Volume 877,Pressman,2004
9788500000877,Computação em Nuvem - Volume 878,Erl,1995
9788500000878,Machine Learning - Volume 879,Aho,2017
9788500000879,Inteligência Artificial - Volume 880,Mark Weiss,2016
9788500000880,Python - Volume 881,Hearn,2004
9788500000881,Redes - Volume 882,Freeman,2016
9788500000882,Mineração de Dados - Volume 883,McKinney,2017
9788500000883,Python - Volume 884,McKinney,2006
9788500000884,Análise de Dados - Volume 885,Mitchell,2002
9788500000885,Banco de Dados - Volume 886,Szeliski,1999
9788500000886,Computação Gráfica - Volume 887,Knuth,2006
9788500000887,Arquitetura de Computadores - Volume 888,Stallings,2024
9788500000888,Visão Computacional - Volume 889,Stallings,2020
9788500000889,Sistemas Operacionais - Volume 890,Mitchell,2016
9788500000890,Análise de Dados - Volume 891,Deitel,2011
9788500000891,Computação Gráfica - Volume 892,Han,2017
9788500000892,Compiladores - Volume 893,Deitel,2024
9788500000893,Computação em Nuvem - Volume 894,Brookshear,1996
9788500000894,Segurança da Informação - Volume 895,Han,2001
9788500000895,Computação em Nuvem - Volume 896,Stallings,1999
9788500000896,Redes - Volume 897,Pressman,2022
9788500000897,Mineração de Dados - Volume 898,Hearn,1998
9788500000898,Sistemas Operacionais - Volume 899,Erl,2010
9788500000899,Java - Volume 900,Han,2009
9788500000900,Estruturas de Dados - Volume 901,Hearn,1999
9788500000901,Mineração de Dados - Volume 902,Patterson,2009
9788500000902,Computação em Nuvem - Volume 903,Mark Weiss,2012
9788500000903,Computação Gráfica - Volume 904,McKinney,2018
9788500000904,Algoritmos - Volume 905,Freeman,2003
9788500000905,Algoritmos - Volume 906,Russell,2013
9788500000906,Java - Volume 907,Mark Weiss,2008
9788500000907,Compiladores - Volume 908,Deitel,2012
9788500000908,Estruturas de Dados - Volume 909,Deitel,2024
9788500000909,Visão Computacional - Volume 910,Mark Weiss,2004
9788500000910,Arquitetura de Computadores - Volume 911,Silberschatz,2019
9788500000911,Banco de Dados - Volume 912,Patterson,2006
9788500000912,Programação Web - Volume 913,Hearn,2022
9788500000913,Programação Web - Volume 914,Freeman,1997
9788500000914,Segurança da Informação - Volume 915,Tanenbaum,2015
9788500000915,Compiladores - Volume 916,Brookshear,2000
9788500000916,Segurança da Informação - Volume 917,Freeman,2011
9788500000917,Banco de Dados - Volume 918,Mitchell,2021
9788500000918,Algoritmos - Volume 919,Thomas Cormen,2004
9788500000919,Computação Gráfica - Volume 920,Stallings,2008
9788500000920,Segurança da Informação - Volume 921,Freeman,2021
9788500000921,Inteligência Artificial - Volume 922,Mitchell,2009
9788500000922,Compiladores - Volume 923,Tanenbaum,2003
9788500000923,Sistemas Operacionais - Volume 924,Brookshear,1996
9788500000924,Arquitetura de Computadores - Volume 925,Knuth,2019
9788500000925,Algoritmos - Volume 926,Mitchell,2001
9788500000926,Java - Volume 927,Brookshear,2014
9788500000927,Estruturas de Dados - Volume 928,Hearn,2014
9788500000928,Estruturas de Dados - Volume 929,Mitchell,2018
9788500000929,Estruturas de Dados - Volume 930,Freeman,2009
9788500000930,Inteligência Artificial - Volume 931,Stallings,2001
9788500000931,Estruturas de Dados - Volume 932,Tanenbaum,2011
9788500000932,Deep Learning - Volume 933,Mitchell,2021
9788500000933,Computação em Nuvem - Volume 934,Pressman,2013
9788500000934,Análise de Dados - Volume 935,Pressman,2002
9788500000935,Deep Learning - Volume 936,Tanenbaum,2016
9788500000936,Mineração de Dados - Volume 937,Mitchell,2008
9788500000937,Deep Learning - Volume 938,Goodfellow,1996
9788500000938,Segurança da Informação - Volume 939,Erl,2023
9788500000939,Redes - Volume 940,Patterson,2012
9788500000940,Visão Computacional - Volume 941,Mark Weiss,2006
9788500000941,Programação Web - Volume 942,Han,2005
9788500000942,Arquitetura de Computadores - Volume 943,Patterson,1999
9788500000943,Deep Learning - Volume 944,Freeman,2000
9788500000944,Segurança da Informação - Volume 945,Szeliski,2002
9788500000945,Inteligência Artificial - Volume 946,McKinney,2022
9788500000946,Banco de Dados - Volume 947,Hearn,2024
9788500000947,Estruturas de Dados - Volume 948,Stallings,2008
9788500000948,Arquitetura de Computadores - Volume 949,Stallings,2011
9788500000949,Banco de Dados - Volume 950,Freeman,2002
9788500000950,Machine Learning - Volume 951,Russell,2005
9788500000951,Java - Volume 952,Hearn,2022
9788500000952,Compiladores - Volume 953,Deitel,2012
9788500000953,Sistemas Operacionais - Volume 954,Mark Weiss,2003
9788500000954,Programação Web - Volume 955,Knuth,2014
9788500000955,Estruturas de Dados - Volume 956,Deitel,2001
9788500000956,Computação em Nuvem - Volume 957,Stallings,2001
9788500000957,Visão Computacional - Volume 958,Russell,2022
9788500000958,Engenharia de Software - Volume 959,McKinney,2025
9788500000959,Algoritmos - Volume 960,Russell,2024
9788500000960,Sistemas Operacionais - Volume 961,Brookshear,2018
9788500000961,Visão Computacional - Volume 962,Mitchell,2017
9788500000962,Análise de Dados - Volume 963,Russell,2007
9788500000963,Inteligência Artificial - Volume 964,Stallings,2005
9788500000964,Deep Learning - Volume 965,Freeman,2009
9788500000965,Segurança da Informação - Volume 966,Aho,2004
9788500000966,Machine Learning - Volume 967,Aho,2011
9788500000967,Visão Computacional - Volume 968,Hearn,1998
9788500000968,Visão Computacional - Volume 969,Pressman,2024
9788500000969,Sistemas Operacionais - Volume 970,Aho,2005
9788500000970,Arquitetura de Computadores - Volume 971,Mark Weiss,2013
9788500000971,Inteligência Artificial - Volume 972,Tanenbaum,1995
9788500000972,Machine Learning - Volume 973,Stallings,2024
9788500000973,Computação em Nuvem - Volume 974,Erl,2018
9788500000974,Arquitetura de Computadores - Volume 975,McKinney,1999
9788500000975,Sistemas Operacionais - Volume 976,Pressman,2002
9788500000976,Programação Web - Volume 977,Erl,2021
9788500000977,Inteligência Artificial - Volume 978,Szeliski,2012
9788500000978,Engenharia de Software - Volume 979,Goodfellow,2019
9788500000979,Visão Computacional - Volume 980,Szeliski,2009
9788500000980,Redes - Volume 981,Aho,2000
9788500000981,Banco de Dados - Volume 982,Stallings,2010
9788500000982,Redes - Volume 983,Stallings,2015
9788500000983,Estruturas de Dados - Volume 984,Han,1996
9788500000984,Java - Volume 985,Mark Weiss,2019
